FECHA;EVENTO;LUGAR;MODALIDAD / FORMATO;APERTURA;CIERRE;AFORO;BARRIO;AÑO;MES
25/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;25/1/2024 12:00;26/1/2024 15:00;990;PALERMO;2024;1
25/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;25/1/2024 10:00;25/1/2024 20:00;5.000;NUÑEZ;2024;1
25/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;25/1/2024 20:00;26/1/2024 03:00;999;PALERMO;2024;1
26/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;26/1/2024 10:00;26/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
26/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;26/1/2024 12:00;26/1/2024 18:00;990;PALERMO;2024;1
26/1/2024;Carrera 1/4 de milla;Autódromo de la Ciudad de Buenos Aires;Carrera;26/1/2024 20:00;27/1/2024 04:30;1.000;VILLA RIACHUELO;2024;1
26/1/2024;Ulises Bueno;GEBA - Jorge Newbery;Recital;26/1/2024 20:30;27/1/2024 01:00;8.999;PALERMO;2024;1
26/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;26/1/2024 10:00;26/1/2024 20:00;5.000;NUÑEZ;2024;1
26/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;26/1/2024 21:00;27/1/2024 01:00;999;PALERMO;2024;1
27/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;27/1/2024 10:00;27/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
27/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;27/1/2024 12:00;27/1/2024 18:00;990;PALERMO;2024;1
27/1/2024;Carrera 1/4 de milla;Autódromo de la Ciudad de Buenos Aires;Carrera;27/1/2024 19:00;28/1/2024 02:00;2.000;VILLA RIACHUELO;2024;1
27/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;27/1/2024 10:00;27/1/2024 20:00;5.000;NUÑEZ;2024;1
27/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;27/1/2024 18:00;27/1/2024 20:15;999;PALERMO;2024;1
28/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;28/1/2024 10:00;28/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
28/1/2024;Shows DJ - Fiesta Bresh;GEBA - Jorge Newbery;Fiesta;28/1/2024 00:30;29/1/2024 06:30;8.200;PALERMO;2024;1
28/1/2024;Circuito de las Estaciones: Verano;Av. Figueroa Alcorta y Av. Monroe;Carrera;28/1/2024 07:00;28/1/2024 11:00;3.500;BELGRANO;2024;1
28/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;28/1/2024 12:00;28/1/2024 15:00;990;PALERMO;2024;1
28/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;28/1/2024 10:00;28/1/2024 20:00;5.000;NUÑEZ;2024;1
28/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;28/1/2024 18:00;28/1/2024 20:30;999;PALERMO;2024;1
28/1/2024;La Fiesta de la Alasita;Parque Indoamericano;Fiesta;28/1/2024 12:00;29/1/2024 20:00;15.000;VILLA SOLDATI;2024;1
30/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;30/1/2024 10:00;30/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
30/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;30/1/2024 10:00;30/1/2024 20:00;5.000;NUÑEZ;2024;1
31/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;31/1/2024 10:00;31/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
31/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;31/1/2024 12:00;31/1/2024 15:00;990;PALERMO;2024;1
31/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;31/1/2024 10:00;31/1/2024 20:00;5.000;NUÑEZ;2024;1
31/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;31/1/2024 18:00;31/1/2024 20:30;999;PALERMO;2024;1
1/2/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;1/2/2024 10:00;1/2/2024 20:00;5.000;VILLA SOLDATI;2024;2
1/2/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;1/2/2024 12:00;1/2/2024 15:00;990;PALERMO;2024;2
1/2/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;1/2/2024 10:00;1/2/2024 20:00;5.000;NUÑEZ;2024;2
1/2/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;1/2/2024 21:00;2/2/2024 01:00;999;PALERMO;2024;2
2/2/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;2/2/2024 10:00;2/2/2024 20:00;5.000;VILLA SOLDATI;2024;2
2/2/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;2/2/2024 12:00;2/2/2024 18:00;990;PALERMO;2024;2
2/2/2024;Carrera 1/4 de Milla;Autódromo de la Ciudad de Buenos Aires;Carrera;2/2/2024 20:00;3/2/2024 04:30;1.500;VILLA RIACHUELO;2024;2
2/2/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;2/2/2024 10:00;2/2/2024 20:00;5.000;NUÑEZ;2024;2
2/2/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;2/2/2024 21:00;3/2/2024 01:00;999;PALERMO;2024;2
3/2/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;3/2/2024 10:00;3/2/2024 20:00;5.000;VILLA SOLDATI;2024;2
3/2/2024;Hitos de nuestro Automovilismo;Acera de la intersección Intendente Bunge y Andrés Bello –Parque 3 de Febrero;Exhibición;3/2/2024 10:00;3/2/2024 13:00;3.000;PALERMO;2024;2
3/2/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;3/2/2024 12:00;3/2/2024 18:00;990;PALERMO;2024;2
3/2/2024;Año Nuevo Chino;Plaza Parques Nacionales;Festival;3/2/2024 17:00;3/2/2024 22:00;10.000;BELGRANO;2024;2
3/2/2024;Carnaval Porteño 2024 - Boedo 1;Av. Boedo e/ Av. Independencia y Av. San Juan;Carnaval;3/2/2024 17:00;3/2/2024 23:00;8.000;BOEDO;2024;2
3/2/2024;Carnaval Porteño 2024 - Caballito;"Almirante Juan F. Seguí entre Neuquén y Av. Gaona
";Carnaval;3/2/2024 17:00;3/2/2024 23:00;2.900;CABALLITO;2024;2
3/2/2024;Carnaval Porteño 2024 - Colegiales;Polideportivo Colegiales;Carnaval;3/2/2024 17:00;3/2/2024 23:00;1.000;COLEGIALES;2024;2
3/2/2024;Carnaval Porteño 2024 - Lugano 1;Av. Fernandez de la Cruz y Timoteo Gordillo;Carnaval;3/2/2024 17:00;3/2/2024 23:00;1.000;VILLA LUGANO;2024;2
3/2/2024;Carnaval Porteño 2024 - Mataderos;Av. Alberdi e/ Escalada y Araujo;Carnaval;3/2/2024 17:00;3/2/2024 23:00;8.000;MATADEROS;2024;2
3/2/2024;Carnaval Porteño 2024 - Saavedra;Av. Garcia del Río e/ Freire y Zapiola;Carnaval;3/2/2024 17:00;3/2/2024 23:00;8.000;SAAVEDRA;2024;2
3/2/2024;Carnaval Porteño 2024 - San Cristobal;Plaza Martin Fierro;Carnaval;3/2/2024 17:00;3/2/2024 23:00;1.000;SAN CRISTOBAL;2024;2
3/2/2024;Carnaval Porteño 2024 - San Telmo;Anfiteatro Parque Lezama;Carnaval;3/2/2024 17:00;13/2/2024 23:00;2.900;SAN TELMO;2024;2
3/2/2024;Carnaval Porteño 2024 - Villa Crespo;Scalabrini Ortiz e/ Av Corrientes y Juan Ramirez de Velazco;Carnaval;3/2/2024 17:00;3/2/2024 23:00;8.000;VILLA CRESPO;2024;2
3/2/2024;Carnaval Porteño 2024 - Villa Pueyrredón;Av. Mosconi e/ Bolivia y Terrada;Carnaval;3/2/2024 17:00;3/2/2024 23:00;8.000;VILLA PUEYRREDON;2024;2
3/2/2024;Carnaval Porteño 2024 - Villa Urquiza;Av. Triunvirato e/ Monroe y Olazabal;Carnaval;3/2/2024 17:00;3/2/2024 23:00;8.000;VILLA URQUIZA;2024;2
3/2/2024;Carrera de Midget;Autódromo de la Ciudad de Buenos Aires;Carrera;3/2/2024 18:00;4/2/2024 02:00;1.000;VILLA RIACHUELO;2024;2
3/2/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;3/2/2024 10:00;3/2/2024 20:00;5.000;NUÑEZ;2024;2
3/2/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;3/2/2024 18:00;3/2/2024 20:15;999;PALERMO;2024;2
4/2/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;4/2/2024 10:00;4/2/2024 20:00;5.000;VILLA SOLDATI;2024;2
4/2/2024;Shows DJ - Fiesta Bresh;GEBA - Jorge Newbery;Fiesta;4/2/2024 00:30;5/2/2024 06:30;7.999;PALERMO;2024;2
4/2/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;4/2/2024 12:00;4/2/2024 15:00;990;PALERMO;2024;2
4/2/2024;Carnaval Porteño 2024 - Boedo 1;Av. Boedo e/ Av. Independencia y Av. San Juan;Carnaval;4/2/2024 17:00;4/2/2024 23:00;8.000;BOEDO;2024;2
4/2/2024;Carnaval Porteño 2024 - Caballito;"Almirante Juan F. Seguí entre Neuquén y Av. Gaona
";Carnaval;4/2/2024 17:00;4/2/2024 23:00;2.900;CABALLITO;2024;2
4/2/2024;Carnaval Porteño 2024 - Colegiales;Polideportivo Colegiales;Carnaval;4/2/2024 17:00;12/2/2024 23:00;1.000;COLEGIALES;2024;2
4/2/2024;Carnaval Porteño 2024 - Lugano 1;Av. Fernandez de la Cruz y Timoteo Gordillo;Carnaval;4/2/2024 17:00;4/2/2024 23:00;1.000;VILLA LUGANO;2024;2
4/2/2024;Carnaval Porteño 2024 - Mataderos;Av. Alberdi e/ Escalada y Araujo;Carnaval;4/2/2024 17:00;4/2/2024 23:00;8.000;MATADEROS;2024;2
4/2/2024;Carnaval Porteño 2024 - Saavedra;Av. Garcia del Río e/ Freire y Zapiola;Carnaval;4/2/2024 17:00;4/2/2024 23:00;8.000;SAAVEDRA;2024;2
4/2/2024;Carnaval Porteño 2024 - San Cristobal;Plaza Martin Fierro;Carnaval;4/2/2024 17:00;4/2/2024 23:00;1.000;SAN CRISTOBAL;2024;2
